,ABAIARA,ACARAPE,ACARAÚ,ACOPIARA,AIUABA,ALCÂNTARAS,ALTANEIRA,ALTO SANTO,AMONTADA,ANTONINA DO NORTE,APUIARÉS,AQUIRAZ,ARACATI,ARACOIABA,ARARENDÁ,ARARIPE,ARATUBA,ARNEIROZ,ASSARÉ,AURORA,BAIXIO,BANABUIÚ,BARBALHA,BARREIRA,BARRO,BARROQUINHA,BATURITÉ,BEBERIBE,BELA CRUZ,BOA VIAGEM,BREJO SANTO,CAMOCIM,CAMPOS SALES,CANINDÉ,CAPISTRANO,CARIDADE,CARIRÉ,CARIRIAÇU,CARIÚS,CARNAUBAL,CASCAVEL,CATARINA,CATUNDA,CAUCAIA,CEDRO,CHAVAL,CHORÓ,CHOROZINHO,COREAÚ,CRATEÚS,CRATO,CROATÁ,CRUZ,DEPUTADO IRAPUAN PINHEIRO,ERERÊ,EUSÉBIO,FARIAS BRITO,FORQUILHA,FORTALEZA,FORTIM,FRECHEIRINHA,GENERAL SAMPAIO,GRAÇA,GRANJA,GRANJEIRO,GROAÍRAS,GUAIÚBA,GUARACIABA DO NORTE,GUARAMIRANGA,HIDROLÂNDIA,HORIZONTE,IBARETAMA,IBIAPINA,IBICUITINGA,ICAPUÍ,ICÓ,IGUATU,INDEPENDÊNCIA,IPAPORANGA,IPAUMIRIM,IPU,IPUEIRAS,IRACEMA,IRAUÇUBA,ITAIÇABA,ITAITINGA,ITAPAGÉ,ITAPIPOCA,ITAPIÚNA,ITAREMA,ITATIRA,JAGUARETAMA,JAGUARIBARA,JAGUARIBE,JAGUARUANA,JARDIM,JATI,JIJOCA DE JERICOACOARA,JUAZEIRO DO NORTE,JUCÁS,LAVRAS DA MANGABEIRA,LIMOEIRO DO NORTE,MADALENA,MARACANAÚ,MARANGUAPE,MARCO,MARTINÓPOLE,MASSAPÊ,MAURITI,MERUOCA,MILAGRES,MILHÃ,MIRAÍMA,MISSÃO VELHA,MOMBAÇA,MONSENHOR TABOSA,MORADA NOVA,MORAÚJO,MORRINHOS,MUCAMBO,MULUNGU,NOVA OLINDA,NOVA RUSSAS,NOVO ORIENTE,OCARA,ORÓS,PACAJUS,PACATUBA,PACOTI,PACUJÁ,PALHANO,PALMÁCIA,PARACURU,PARAIPABA,PARAMBU,PARAMOTI,PEDRA BRANCA,PENAFORTE,PENTECOSTE,PEREIRO,PINDORETAMA,PIQUET CARNEIRO,PIRES FERREIRA,PORANGA,PORTEIRAS,POTENGI,POTIRETAMA,QUITERIANÓPOLIS,QUIXADÁ,QUIXELÔ,QUIXERAMOBIM,QUIXERÉ,REDENÇÃO,RERIUTABA,RUSSAS,SABOEIRO,SALITRE,SANTANA DO ACARAÚ,SANTANA DO CARIRI,SANTA QUITÉRIA,SÃO BENEDITO,SÃO GONÇALO DO AMARANTE,SÃO JOÃO DO JAGUARIBE,SÃO LUÍS DO CURU,SENADOR POMPEU,SENADOR SÁ,SOBRAL,SOLONÓPOLE,TABULEIRO DO NORTE,TAMBORIL,TARRAFAS,TAUÁ,TEJUÇUOCA,TIANGUÁ,TRAIRI,TURURU,UBAJARA,UMARI,UMIRIM,URUBURETAMA,URUOCA,VARJOTA,VÁRZEA ALEGRE,VIÇOSA DO CEARÁ
2011-01-31,175.60545,265.07855,299.15805,160.50844,134.52223,280.54828,165.02406,194.66916,257.98776,143.11629,235.43077,334.675,198.9716,213.23985,174.24191,147.30309,196.63654,135.92386,165.02406,171.96088,204.9166,170.80746,172.2782,277.9883,174.42867,341.59125,213.23985,254.35165,308.90118,153.09645,175.31232,342.8604,143.00912,184.15613,196.63654,258.74716,243.9165,177.2191,170.15953,236.84186,276.1848,143.4128,146.3279,277.73077,182.10594,341.59125,173.08728,277.9883,290.91974,161.94638,166.30107,193.04453,308.90118,167.63985,200.99605,334.675,171.43718,218.61801,337.7818,295.4367,290.91974,223.75275,330.35593,350.16577,177.2191,199.59888,275.78558,236.84186,258.74716,192.56357,334.675,191.62057,309.09274,196.43156,251.07431,179.37234,176.72798,132.9153,166.79471,204.9166,281.39047,193.04453,199.70587,192.17921,198.9716,334.675,209.69135,224.07333,196.63654,299.15805,184.15613,178.83943,192.13129,182.99777,198.9716,172.2782,141.55959,303.19962,183.88316,162.49084,202.16916,200.80598,164.75563,275.78558,275.78558,267.9772,332.419,280.54828,171.42673,280.54828,175.60545,167.54099,212.99615,183.88316,161.70361,139.69298,196.43156,307.94064,235.80247,330.35593,258.74716,165.02406,160.76515,147.52626,232.49101,178.3501,277.9883,334.675,258.74716,330.35593,229.88821,265.07855,207.65825,203.7435,163.78485,209.54514,166.59436,141.55959,216.36404,205.57077,332.0349,157.59975,228.92967,175.19371,175.31232,148.38329,199.70587,149.4861,170.88206,178.3501,163.98543,222.70267,265.07855,243.9165,223.1049,146.45767,144.09393,241.64555,164.70345,198.05745,309.09274,207.65825,201.64946,216.36404,164.0196,297.78305,218.61801,188.96259,200.80598,137.98248,161.02716,129.98582,223.75275,342.34903,172.0298,224.07333,342.34903,179.37234,209.69135,224.07333,332.419,228.92967,200.77588,373.03317
2011-02-28,111.78502,154.69527,146.0395,127.24902,108.96308,164.848,122.75565,128.55745,142.06296,111.6866,137.25137,172.62067,138.35547,141.91066,125.82189,102.97699,133.63254,107.33785,122.75565,128.63489,115.7366,122.8982,95.26765,158.62874,110.04208,192.09064,141.91066,144.534,149.63832,123.58159,98.44815,177.76596,104.53186,129.50577,133.63254,143.36598,147.82755,139.02342,122.13232,161.64223,159.2909,114.77483,116.588264,153.74861,112.032814,192.09064,126.955925,158.62874,162.53557,119.648865,119.66011,136.85178,149.63832,138.67937,130.25093,172.62067,127.22096,130.28645,172.61192,144.22607,162.53557,140.16399,172.5687,189.53757,139.02342,138.84317,155.16055,161.64223,143.36598,142.48033,172.62067,133.84239,182.0875,132.55981,140.09482,114.60299,131.158,109.164276,118.65341,115.7366,174.82463,136.85178,128.29726,128.91106,138.35547,172.62067,135.68718,138.85262,133.63254,146.0395,129.50577,125.78535,131.38823,138.69994,138.35547,95.26765,69.03998,160.00754,122.45935,119.06236,114.48302,128.60068,133.36089,155.16055,155.16055,145.83002,167.88934,164.848,94.84446,164.848,111.78502,133.87701,133.403,122.45935,127.89881,117.26243,132.55981,175.09378,133.75824,172.5687,143.36598,122.75565,120.252266,115.46953,144.74591,117.60873,158.62874,172.62067,143.36598,172.5687,138.63127,154.69527,134.91667,131.21632,115.957115,137.62997,125.47433,69.03998,134.60497,137.86746,173.74025,124.8336,152.30672,130.61192,98.44815,110.166046,128.29726,117.89402,125.56993,117.60873,130.79697,131.44482,154.69527,147.82755,140.43196,114.68715,97.442696,142.26064,112.87568,131.92717,182.0875,134.91667,131.01782,134.60497,126.30015,164.47517,130.28645,126.810524,128.60068,108.38584,121.58527,107.52317,140.16399,184.38968,102.00678,138.85262,184.38968,114.60299,135.68718,138.85262,167.88934,152.30672,135.59555,185.28821
2011-03-31,23.600857,63.40505,49.763023,27.056957,9.34463,41.69976,22.020966,44.501842,44.42324,10.806981,44.488884,81.672935,48.943207,54.447018,29.539402,10.488361,45.69134,11.597234,22.020966,22.00602,33.26438,39.263092,21.448263,67.11807,24.765429,46.05431,54.447018,56.853794,46.205982,28.66707,26.247936,46.305202,10.37409,37.92693,45.69134,51.25149,35.683365,26.456312,23.28416,34.525497,66.827995,16.40549,22.912132,60.775707,28.021029,46.05431,38.13011,67.11807,37.89382,21.832949,22.550709,27.353449,46.205982,38.764008,43.294525,81.672935,25.475428,32.357105,85.531876,56.273254,37.89382,41.792583,46.35386,44.493477,26.456312,33.40042,63.7474,34.525497,51.25149,35.43043,81.672935,46.53643,41.224903,49.40103,50.63275,28.582037,31.244297,17.65803,24.229498,33.26438,43.911343,27.353449,43.009274,35.655415,48.943207,81.672935,39.696327,40.692398,45.69134,49.763023,37.92693,43.71774,46.980675,42.301197,48.943207,21.448263,18.016115,46.583824,28.998808,20.150604,25.74781,43.51918,32.841267,63.7474,63.7474,38.928703,42.86949,41.69976,27.610355,41.69976,23.600857,38.270573,41.465153,28.998808,31.508696,21.530596,49.40103,44.53403,37.2233,46.35386,51.25149,22.020966,28.965967,14.425101,58.61246,32.31509,67.11807,81.672935,51.25149,46.35386,48.936676,63.40505,40.627975,37.96756,13.838191,40.731186,29.519714,18.016115,42.731045,47.20323,86.03292,27.688957,36.89705,26.632118,26.247936,13.703001,43.009274,19.60222,37.050068,32.31509,33.35481,43.284172,63.40505,35.683365,53.053226,10.782415,9.866619,43.087578,18.918242,32.57363,41.224903,40.627975,46.99648,42.731045,27.85391,42.298233,32.357105,39.20142,43.51918,17.982666,21.186666,14.426175,41.792583,46.10426,30.820158,40.692398,46.10426,28.582037,39.696327,40.692398,42.86949,36.89705,22.607357,54.523937
2011-04-30,26.220469,44.386272,36.753235,31.26552,15.741004,38.286114,21.747036,35.76961,37.744377,18.18061,35.688854,50.989967,39.030533,41.193283,25.645342,16.637321,40.754982,16.859924,21.747036,24.851646,29.501938,34.51917,25.201303,48.04525,25.675423,30.911926,41.193283,43.392487,36.371964,29.202236,28.21074,33.656017,16.089136,32.993576,40.754982,44.201042,30.39377,26.061241,25.200945,27.426075,48.115776,19.421934,22.414999,41.701942,33.158737,30.911926,36.403484,48.04525,29.210184,21.311914,21.555574,23.889256,36.371964,34.39388,36.755066,50.989967,22.72962,28.13085,54.752026,43.88145,29.210184,31.100012,37.49422,32.13473,26.061241,26.710295,48.764843,27.426075,44.201042,28.776525,50.989967,40.453274,37.852707,38.351852,43.007725,31.331882,35.804436,19.136831,23.279566,29.501938,31.942343,23.889256,36.667637,30.570305,39.030533,50.989967,31.544462,31.17435,40.754982,36.753235,32.993576,34.169483,36.393776,36.384914,39.030533,25.201303,26.927275,36.155155,24.887196,28.52553,30.512978,32.66727,31.956799,48.764843,48.764843,36.05392,33.235886,38.286114,27.878849,38.286114,26.220469,33.09994,29.778032,24.887196,28.496065,22.340311,38.351852,34.306053,32.280785,37.49422,44.201042,21.747036,26.05064,20.231981,41.730076,37.15501,48.04525,50.989967,44.201042,37.49422,39.148273,44.386272,33.084156,28.959219,18.703865,31.719332,28.202991,26.927275,34.102654,37.70974,56.625187,30.642776,28.404182,24.074385,28.21074,18.158373,36.667637,20.062254,34.411804,37.15501,33.484642,36.013645,44.386272,30.39377,40.449768,17.376614,19.248917,29.823648,20.713202,28.174614,37.852707,33.084156,34.38463,34.102654,31.393042,38.58373,28.13085,33.710533,32.66727,20.47357,23.308567,18.751339,31.100012,38.06825,22.192818,31.17435,38.06825,31.331882,31.544462,31.17435,33.235886,28.404182,28.453295,41.19821
2011-05-31,5.2813945,22.461246,13.889301,9.971279,-3.3171482,10.952872,8.109239,9.502373,8.812608,2.813508,13.1531315,20.914156,11.235794,13.955402,6.5999627,-0.6826385,12.860716,-1.8521075,8.109239,6.2831025,7.1022277,10.491037,5.155287,17.344383,5.106769,12.270282,13.955402,11.694986,9.315565,8.168872,3.8284194,7.7416873,1.7757778,10.222723,12.860716,17.511896,8.396189,8.29797,5.163599,9.356974,17.931046,0.47427312,2.278058,14.270468,6.820229,12.270282,11.536004,17.344383,13.309137,3.5717025,3.2464428,6.977184,9.315565,11.43543,9.849967,20.914156,7.148857,-0.062200576,19.893261,11.880341,13.309137,7.424286,11.486845,10.4271965,8.29797,2.9748082,20.56112,9.356974,17.511896,7.200947,20.914156,13.033407,9.329504,10.47233,12.718109,6.4626803,8.145398,-0.54585624,3.5695376,7.1022277,9.436914,6.977184,8.975848,5.459342,11.235794,20.914156,5.8833337,4.5002313,12.860716,13.889301,10.222723,11.311045,9.544334,11.597665,11.235794,5.155287,3.9429176,8.413412,5.360955,4.770192,6.033127,9.124859,9.849889,20.56112,20.56112,2.0147848,10.114162,10.952872,5.887454,10.952872,5.2813945,11.71217,6.1592073,5.360955,10.065183,2.9125273,10.47233,16.030819,4.8881483,11.486845,17.511896,8.109239,4.0645714,3.0348186,13.429506,9.48082,17.344383,20.914156,17.511896,11.486845,11.429371,22.461246,5.70819,5.5933013,1.3713328,9.184647,9.994936,3.9429176,8.619371,10.289235,18.008753,10.32242,6.330916,5.972435,3.8284194,2.8392763,8.975848,3.0085483,10.346483,9.48082,10.178775,8.889849,22.461246,8.396189,12.625254,-2.227423,0.94844425,1.7273861,3.2481263,3.675384,9.329504,5.70819,9.836704,8.619371,10.391084,6.6878414,-0.062200576,13.372645,9.124859,0.2454888,5.729901,-0.42099467,7.424286,7.536497,1.8743279,4.5002313,7.536497,6.4626803,5.8833337,4.5002313,10.114162,6.330916,5.9208627,14.709305
2011-06-30,5.9363027,11.035537,2.74831,0.7935298,-2.7501063,1.7656511,7.0204453,3.5335164,0.40490848,2.0809145,2.7890935,13.886744,3.2253015,6.9285326,-1.762977,1.0412333,5.9899683,-1.7102638,7.0204453,8.932647,6.982153,4.2495637,3.8188627,8.821265,5.9231305,3.5810928,6.9285326,4.750599,4.8913155,1.9176027,6.558741,3.2539618,3.6520777,3.0757804,5.9899683,8.785718,-0.06699523,8.102327,7.1542063,0.8050541,10.509637,-2.8093796,-2.189911,10.543245,4.7224216,3.5810928,3.738182,8.821265,4.0074778,-1.7903684,4.335785,0.6924952,4.8913155,1.9175516,3.8121505,13.886744,6.0324516,-3.1893015,14.867155,4.312746,4.0074778,0.046961006,7.096978,2.4939027,8.102327,-3.550896,8.845302,0.8050541,8.785718,-0.4728995,13.886744,6.0622654,1.161542,4.2125907,3.6466115,5.193674,3.3003275,-3.631902,-1.9503142,6.982153,-0.22394639,0.6924952,2.3532557,-2.7232103,3.2253015,13.886744,-1.657299,-4.517174,5.9899683,2.74831,3.0757804,4.3906455,3.4157772,4.253779,3.2253015,3.8188627,6.077768,2.2412796,5.2561016,1.8058547,7.073285,2.562216,3.0215645,8.845302,8.845302,-4.2871604,3.0873015,1.7656511,6.135612,1.7656511,5.9363027,1.3400025,-1.2556893,5.2561016,-0.30665848,-2.5639381,4.2125907,5.310086,-2.325755,7.096978,8.785718,7.0204453,-0.6989724,-2.3130834,6.4026384,4.9472923,8.821265,13.886744,8.785718,7.096978,3.9667213,11.035537,-1.6160455,-1.8860309,-1.1148058,0.64853126,1.0762802,6.077768,1.1032268,4.2737675,12.773645,0.057940647,-0.34201062,0.039565377,6.558741,3.395113,2.3532557,-3.2930481,4.8243294,4.9472923,4.082184,2.4716074,11.035537,-0.06699523,5.2623773,-1.8759508,0.5782365,-1.6105338,3.756926,-1.1908624,1.161542,-1.6160455,3.9948626,1.1032268,1.6156971,1.8949381,-3.1893015,2.5433674,2.562216,-3.1038914,6.9531593,-4.0700026,0.046961006,1.3516325,-4.8943915,-4.517174,1.3516325,5.193674,-1.657299,-4.517174,3.0873015,-0.34201062,6.621136,5.443009
2011-07-31,17.42518,20.613897,9.337213,8.18893,6.832401,12.338216,16.744955,12.738439,4.494625,11.334718,9.875727,22.327745,13.049666,15.257782,8.220374,11.328899,14.975829,6.671978,16.744955,19.308125,16.86478,12.796239,13.594705,17.67859,18.19336,7.5225544,15.257782,12.935628,8.594428,8.370654,17.040571,8.701341,14.838772,8.790502,14.975829,17.473524,7.673827,19.215393,15.144875,9.83066,17.568228,6.138134,5.2343645,15.387373,14.544484,7.5225544,11.9025,17.67859,11.180418,6.4543285,14.254336,9.651096,8.594428,10.015909,12.041658,22.327745,17.008905,3.810135,19.126757,12.527207,11.180418,7.6532454,10.527658,8.20034,19.215393,5.832604,17.649508,9.83066,17.473524,6.970557,22.327745,14.311653,9.886349,12.256126,11.88498,14.8186655,11.033991,3.5630794,6.8691053,16.86478,10.896881,9.651096,10.541859,4.328125,13.049666,22.327745,6.1697507,2.5962255,14.975829,9.337213,8.790502,12.507314,12.964252,12.2856245,13.049666,13.594705,17.520426,6.824447,16.908571,12.33026,17.41128,10.677304,9.8548975,17.649508,17.649508,2.9144106,9.229939,12.338216,16.950384,12.338216,17.42518,10.535346,6.2250876,16.908571,6.9842987,5.3333917,12.256126,13.634308,3.398643,10.527658,17.473524,16.744955,6.4796386,6.183182,14.32666,12.681267,17.67859,22.327745,17.473524,10.527658,12.027818,20.613897,4.0416055,5.425491,7.932976,8.374951,8.370799,17.520426,8.757236,12.027894,23.104208,7.5521164,7.5382648,8.863293,17.040571,13.251856,10.541859,6.0525393,12.798044,12.681267,12.424588,10.671245,20.613897,7.673827,13.261692,8.034105,10.579018,6.3695173,13.765936,6.0262113,9.886349,4.0416055,12.811152,8.757236,8.757909,6.681161,3.810135,10.15197,10.677304,4.6158004,15.347853,4.048693,7.6532454,10.194687,0.9224077,2.5962255,10.194687,14.8186655,6.1697507,2.5962255,9.229939,7.5382648,17.223463,11.757609
2011-08-31,31.139872,15.919795,0.557499,7.7545156,11.210499,9.74416,36.300285,4.9389796,-0.71795803,23.350475,7.976801,13.704064,7.3545804,11.161396,9.987622,36.14917,11.074368,10.576746,36.300285,26.760765,23.839275,11.348677,29.55161,13.178119,31.73406,3.7080777,11.161396,6.8717647,2.0024862,7.606705,29.23409,3.278933,33.621662,6.6858034,11.074368,12.554705,3.572989,31.73486,20.174356,11.172345,10.863561,10.4156475,5.6178474,10.798703,20.33576,3.7080777,9.943237,13.178119,5.436536,8.624717,30.412827,9.800651,2.0024862,11.799909,5.8490868,13.704064,33.316296,-2.2931705,11.161288,7.27233,5.436536,-1.874314,10.233859,6.311367,31.73486,3.9790566,12.274177,11.172345,12.554705,7.6162004,13.704064,10.882042,10.890329,7.4750175,0.6066009,18.268097,16.266365,5.9303956,7.4266434,23.839275,10.030562,9.800651,4.0233536,0.27248937,7.3545804,13.704064,2.9353478,-3.630714,11.074368,0.557499,6.6858034,10.154089,7.5247173,7.491652,7.3545804,29.55161,29.804762,1.29786,31.208742,15.868021,23.064087,3.1923978,7.0187902,12.274177,12.274177,-3.5909593,4.239915,9.74416,30.812946,9.74416,31.139872,10.13282,-1.2918011,31.208742,7.822903,5.488153,7.4750175,7.5966086,-5.129189,10.233859,12.554705,36.300285,4.996217,8.572934,9.022444,17.303202,13.178119,13.704064,12.554705,10.233859,8.120136,15.919795,-13.417339,-12.758984,13.111933,5.593601,7.656406,29.804762,2.9870188,6.593616,13.620339,8.00276,8.53121,10.748362,29.23409,32.29489,4.0233536,8.572934,10.309604,17.303202,10.804442,6.0577974,15.919795,3.572989,10.417581,12.589053,36.5957,1.2291913,31.704645,-1.5847528,10.890329,-13.417339,4.7923274,2.9870188,8.234957,-0.13723272,-2.2931705,10.78203,3.1923978,5.2655025,21.895416,5.0633626,-1.874314,11.037643,-19.741335,-3.630714,11.037643,18.268097,2.9353478,-3.630714,4.239915,8.53121,20.795732,11.988913
2011-09-30,47.033844,22.375084,11.4768915,19.46904,20.516869,22.966766,46.46818,5.457776,10.4715185,27.92623,4.6798024,9.192994,3.3148344,16.693913,27.835012,43.70034,12.896913,16.479673,46.46818,48.202805,39.180542,6.898339,38.675575,15.395567,55.09961,23.257923,16.693913,5.082842,13.24233,13.956488,44.79135,21.582104,34.418526,11.855164,12.896913,22.343939,12.396565,55.821075,44.039116,29.036806,16.971096,13.35926,7.6910114,6.4822297,28.38816,23.257923,9.44168,15.395567,32.713413,26.233541,48.802666,20.916773,13.24233,21.466345,16.370823,9.192994,44.523766,9.146186,2.3402023,2.4067256,32.713413,3.6836038,31.551352,22.20904,55.821075,9.268765,16.936687,29.036806,22.343939,16.343773,9.192994,8.201813,30.020203,6.983216,4.8759174,29.17101,24.313217,10.023076,23.026186,39.180542,31.409609,20.916773,7.5098214,1.1454352,3.3148344,9.192994,2.5625443,1.1368754,12.896913,11.4768915,11.855164,10.406014,9.023056,19.427223,3.3148344,38.675575,38.957474,12.688443,46.804665,27.780085,38.551937,4.1529818,7.2033243,16.936687,16.936687,5.3319407,21.065971,22.966766,51.021694,22.966766,47.033844,21.11028,5.753807,46.804665,15.897022,14.401284,6.983216,24.894,4.4027925,31.551352,22.343939,46.46818,14.84843,23.927237,13.298068,23.615929,15.395567,9.192994,22.343939,31.551352,6.6755605,22.375084,-7.747068,-6.619999,27.044777,7.2512655,15.435707,38.957474,2.1752214,17.040976,9.530418,16.481508,16.365288,24.513819,44.79135,37.250183,7.5098214,27.721786,8.1556635,23.615929,12.8196535,8.761719,22.375084,12.396565,8.258709,18.497513,40.863552,12.430413,48.9896,3.9417236,30.020203,-7.747068,4.807429,2.1752214,20.045132,11.190036,9.146186,21.277004,4.1529818,8.1554165,41.944046,11.56894,3.6836038,30.736902,-12.194224,1.1368754,30.736902,29.17101,2.5625443,1.1368754,21.065971,16.365288,46.56663,31.561502
2011-10-31,98.42278,84.86914,67.436714,59.46315,54.655243,86.25796,77.146225,53.446396,65.46596,73.09227,43.65394,93.33847,48.147987,71.092285,67.990776,69.0209,68.040504,51.820072,77.146225,95.36179,91.21366,56.94857,90.21977,79.19656,98.220116,115.748886,71.092285,71.99087,75.597496,49.394703,91.14908,110.41537,69.154854,57.021976,68.040504,72.67051,84.17698,100.04074,87.18088,99.689224,82.49153,52.75856,40.713223,54.930923,81.375015,115.748886,54.63675,79.19656,111.07514,66.4381,83.42622,79.43929,75.597496,68.388535,61.84909,93.33847,96.890274,69.62298,59.930363,72.580536,111.07514,52.29583,120.77737,119.28084,100.04074,71.614456,76.62735,99.689224,72.67051,75.203415,93.33847,58.01809,109.92433,56.65845,49.203186,75.89905,72.44757,34.76158,64.91671,91.21366,106.25582,79.43929,57.447872,36.842674,48.147987,93.33847,32.805405,39.46745,68.040504,67.436714,57.021976,49.29796,55.073162,62.340996,48.147987,90.21977,66.519714,83.76303,96.478874,71.4857,91.062,46.400196,50.824806,76.62735,76.62735,67.00698,110.54886,86.25796,91.90016,86.25796,98.42278,60.344646,63.362232,96.478874,54.512886,36.98609,56.65845,113.685524,65.47185,120.77737,72.67051,77.146225,54.70631,60.172764,65.09927,73.73725,79.19656,93.33847,72.67051,120.77737,54.319893,84.86914,27.06697,33.36367,65.44103,64.62018,49.531723,66.519714,39.18478,65.80428,85.23849,55.11718,88.522026,65.73337,91.14908,70.84562,57.447872,63.509277,51.819122,73.73725,54.53409,57.301292,84.86914,84.17698,60.909283,57.25907,67.5118,74.60857,77.8527,61.164806,109.92433,27.06697,54.672237,39.18478,57.093117,81.03269,69.62298,69.71184,46.400196,39.59172,68.427986,48.799973,52.29583,112.15865,3.398736,39.46745,112.15865,75.89905,32.805405,39.46745,110.54886,88.522026,90.59606,116.65973
