lon,lat,mes,ano,prev_1_mes,prev_2_meses,prev_3_meses,regiao_hidro,Real,inter_pr_1,inter_pr_2,inter_pr_3
-39.25,-4.75,1,2011,123.44484,133.01512,173.08728,Bacia Metropolitana,70.48,100.1 a 200,100.1 a 200,100.1 a 200
-39.0,-4.75,1,2011,138.43228,134.53838,178.53836,Bacia Metropolitana,80.74,100.1 a 200,100.1 a 200,100.1 a 200
-38.75,-4.75,1,2011,143.15512,142.8308,191.62057,Bacia Metropolitana,138.45,100.1 a 200,100.1 a 200,100.1 a 200
-38.5,-4.75,1,2011,156.79182,152.47432,223.76599,Bacia Metropolitana,132.43,100.1 a 200,100.1 a 200,200.1 a 300
-39.0,-4.5,1,2011,133.10226,159.2582,196.63654,Bacia Metropolitana,121.47,100.1 a 200,100.1 a 200,100.1 a 200
-38.75,-4.5,1,2011,146.77182,171.81738,213.23985,Bacia Metropolitana,118.91,100.1 a 200,100.1 a 200,200.1 a 300
-38.5,-4.5,1,2011,148.14671,177.74991,232.49101,Bacia Metropolitana,111.61,100.1 a 200,100.1 a 200,200.1 a 300
-38.25,-4.5,1,2011,148.14671,179.60144,234.36987,Bacia Metropolitana,118.21,100.1 a 200,100.1 a 200,200.1 a 300
-38.0,-4.5,1,2011,167.7455,188.77408,254.35165,Bacia Metropolitana,126.17,100.1 a 200,100.1 a 200,200.1 a 300
-38.75,-4.25,1,2011,192.3888,203.02625,265.07855,Bacia Metropolitana,179.5,100.1 a 200,200.1 a 300,200.1 a 300
-38.5,-4.25,1,2011,188.23985,205.26799,277.9883,Bacia Metropolitana,132.48,100.1 a 200,200.1 a 300,200.1 a 300
-38.25,-4.25,1,2011,189.9604,206.60158,276.1848,Bacia Metropolitana,169.8,100.1 a 200,200.1 a 300,200.1 a 300
-38.75,-4.0,1,2011,204.24545,208.69919,275.78558,Bacia Metropolitana,165.24,200.1 a 300,200.1 a 300,200.1 a 300
-38.5,-4.0,1,2011,233.30446,261.54074,334.675,Bacia Metropolitana,161.52,200.1 a 300,200.1 a 300,300.1 a 400
-38.25,-4.0,1,2011,241.61398,258.28622,332.0349,Bacia Metropolitana,189.66,200.1 a 300,200.1 a 300,300.1 a 400
-39.0,-3.75,1,2011,158.01987,190.49713,223.45882,Bacia Metropolitana,100.37,100.1 a 200,100.1 a 200,200.1 a 300
-38.75,-3.75,1,2011,203.98807,205.83998,277.73077,Bacia Metropolitana,118.22,200.1 a 300,200.1 a 300,200.1 a 300
